id_match,marcou_gol,sofreu_gol,kick-off,resultado,locale,jogos_cumulativos,gols_marcados,gols_sofridos,gols_marcados_acumulados,gols_sofridos_acumulados,diferença_gols_acumulados,year,month,weekday
CA1,Sim,Não,2024-01-17 21:30:00,Vitória,Casa,1,4,0,4,0,4,2024,Jan,Wed
AM1,Sim,Não,2024-01-21 16:00:00,Vitória,Fora,2,2,0,6,0,6,2024,Jan,Sun
CA2,Sim,Sim,2024-01-21 18:10:00,Empate,Fora,3,1,1,7,1,6,2024,Jan,Sun
AM2,Sim,Sim,2024-01-27 16:00:00,Empate,Fora,4,1,1,8,2,6,2024,Jan,Sat
CA3,Não,Não,2024-01-27 18:10:00,Empate,Fora,5,0,0,8,2,6,2024,Jan,Sat
CA4,Sim,Não,2024-01-31 21:30:00,Vitória,Fora,6,2,0,10,2,8,2024,Jan,Wed
CA5,Não,Não,2024-02-04 19:00:00,Empate,Fora,7,0,0,10,2,8,2024,Feb,Sun
CA6,Sim,Não,2024-02-07 21:30:00,Vitória,Casa,8,1,0,11,2,9,2024,Feb,Wed
CA7,Sim,Não,2024-02-10 16:00:00,Vitória,Casa,9,3,0,14,2,12,2024,Feb,Sat
CA8,Sim,Não,2024-02-15 21:30:00,Vitória,Fora,10,3,0,17,2,15,2024,Feb,Thu
CA9,Sim,Não,2024-02-21 21:30:00,Vitória,Casa,11,4,0,21,2,19,2024,Feb,Wed
CA10,Sim,Não,2024-02-25 16:00:00,Vitória,Casa,12,2,0,23,2,21,2024,Feb,Sun
CA11,Sim,Não,2024-03-02 16:00:00,Vitória,Casa,13,3,0,26,2,24,2024,Mar,Sat
CA12,Sim,Não,2024-03-09 21:30:00,Vitória,Fora,14,2,0,28,2,26,2024,Mar,Sat
CA13,Não,Não,2024-03-16 21:00:00,Empate,Casa,15,0,0,28,2,26,2024,Mar,Sat
CA14,Sim,Não,2024-03-30 17:00:00,Vitória,Fora,16,3,0,31,2,29,2024,Mar,Sat
LIB1,Sim,Sim,2024-04-02 19:00:00,Empate,Fora,17,1,1,32,3,29,2024,Apr,Tue
CA15,Sim,Não,2024-04-07 17:00:00,Vitória,Casa,18,1,0,33,3,30,2024,Apr,Sun
LIB2,Sim,Não,2024-04-10 19:00:00,Vitória,Casa,19,2,0,35,3,32,2024,Apr,Wed
BR1,Sim,Sim,2024-04-14 16:00:00,Vitória,Fora,20,2,1,37,4,33,2024,Apr,Sun
BR2,Sim,Sim,2024-04-17 21:30:00,Vitória,Casa,21,2,1,39,5,34,2024,Apr,Wed
BR3,Não,Não,2024-04-21 16:00:00,Empate,Fora,22,0,0,39,5,34,2024,Apr,Sun
LIB3,Sim,Sim,2024-04-24 21:30:00,Derrota,Fora,23,1,2,40,7,33,2024,Apr,Wed
BR4,Não,Sim,2024-04-28 11:00:00,Derrota,Casa,24,0,2,40,9,31,2024,Apr,Sun
CB1,Sim,Não,2024-05-01 21:30:00,Vitória,Casa,25,1,0,41,9,32,2024,May,Wed
BR5,Sim,Sim,2024-05-04 18:30:00,Empate,Fora,26,1,1,42,10,32,2024,May,Sat
LIB4,Não,Sim,2024-05-07 21:00:00,Derrota,Fora,27,0,1,42,11,31,2024,May,Tue
BR6,Sim,Não,2024-05-11 16:00:00,Vitória,Casa,28,2,0,44,11,33,2024,May,Sat
LIB5,Sim,Não,2024-05-15 21:30:00,Vitória,Casa,29,4,0,48,11,37,2024,May,Wed
CB2,Sim,Não,2024-05-22 21:30:00,Vitória,Fora,30,1,0,49,11,38,2024,May,Wed
LIB6,Sim,Não,2024-05-28 21:00:00,Vitória,Casa,31,3,0,52,11,41,2024,May,Tue
BR7,Sim,Sim,2024-06-02 16:00:00,Vitória,Fora,32,6,1,58,12,46,2024,Jun,Sun
BR8,Sim,Sim,2024-06-13 20:00:00,Vitória,Casa,33,2,1,60,13,47,2024,Jun,Thu
BR9,Sim,Sim,2024-06-16 16:00:00,Empate,Fora,34,1,1,61,14,47,2024,Jun,Sun
BR10,Sim,Sim,2024-06-20 20:00:00,Vitória,Casa,35,2,1,63,15,48,2024,Jun,Thu
BR11,Sim,Não,2024-06-23 16:00:00,Vitória,Fora,36,1,0,64,15,49,2024,Jun,Sun
BR12,Sim,Sim,2024-06-26 20:00:00,Derrota,Fora,37,1,2,65,17,48,2024,Jun,Wed
BR13,Sim,Sim,2024-06-30 18:30:00,Vitória,Casa,38,2,1,67,18,49,2024,Jun,Sun
BR14,Sim,Sim,2024-07-03 21:30:00,Vitória,Fora,39,4,2,71,20,51,2024,Jul,Wed
BR15,Sim,Sim,2024-07-06 20:00:00,Empate,Casa,40,1,1,72,21,51,2024,Jul,Sat
BR16,Sim,Sim,2024-07-11 20:00:00,Derrota,Casa,41,1,2,73,23,50,2024,Jul,Thu
BR17,Sim,Sim,2024-07-20 16:00:00,Vitória,Casa,42,2,1,75,24,51,2024,Jul,Sat
BR18,Sim,Sim,2024-07-24 20:00:00,Vitória,Fora,43,2,1,77,25,52,2024,Jul,Wed
BR19,Sim,Não,2024-07-28 16:00:00,Vitória,Casa,44,2,0,79,25,54,2024,Jul,Sun
CB3,Sim,Não,2024-07-31 20:00:00,Vitória,Casa,45,2,0,81,25,56,2024,Jul,Wed
BR20,Não,Sim,2024-08-03 21:30:00,Derrota,Fora,46,0,1,81,26,55,2024,Aug,Sat
CB4,Não,Sim,2024-08-07 20:00:00,Derrota,Fora,47,0,1,81,27,54,2024,Aug,Wed
BR21,Sim,Sim,2024-08-11 16:00:00,Empate,Casa,48,1,1,82,28,54,2024,Aug,Sun
LIB7,Sim,Não,2024-08-15 21:30:00,Vitória,Casa,49,2,0,84,28,56,2024,Aug,Thu
BR22,Sim,Sim,2024-08-18 18:30:00,Derrota,Fora,50,1,4,85,32,53,2024,Aug,Sun
LIB8,Não,Sim,2024-08-22 21:30:00,Derrota,Fora,51,0,1,85,33,52,2024,Aug,Thu
BR23,Sim,Sim,2024-08-25 20:00:00,Vitória,Casa,52,2,1,87,34,53,2024,Aug,Sun
CB5,Sim,Não,2024-08-28 21:30:00,Vitória,Fora,53,1,0,88,34,54,2024,Aug,Wed
BR24,Sim,Sim,2024-09-01 16:00:00,Derrota,Fora,54,1,2,89,36,53,2024,Sep,Sun
CB6,Sim,Não,2024-09-12 21:45:00,Vitória,Casa,55,1,0,90,36,54,2024,Sep,Thu
BR25,Sim,Sim,2024-09-15 18:30:00,Empate,Casa,56,1,1,91,37,54,2024,Sep,Sun
LIB9,Não,Sim,2024-09-19 19:00:00,Derrota,Casa,57,0,1,91,38,53,2024,Sep,Thu
BR26,Sim,Sim,2024-09-22 18:30:00,Derrota,Fora,58,2,3,93,41,52,2024,Sep,Sun
LIB10,Não,Não,2024-09-26 19:00:00,Empate,Fora,59,0,0,93,41,52,2024,Sep,Thu
BR27,Sim,Não,2024-09-29 20:00:00,Vitória,Casa,60,1,0,94,41,53,2024,Sep,Sun
CB7,Sim,Não,2024-10-02 21:45:00,Vitória,Casa,61,1,0,95,41,54,2024,Oct,Wed
BR28,Sim,Não,2024-10-05 20:00:00,Vitória,Fora,62,2,0,97,41,56,2024,Oct,Sat
BR29,Não,Sim,2024-10-17 20:00:00,Derrota,Casa,63,0,2,97,43,54,2024,Oct,Thu
CB8,Não,Não,2024-10-20 16:00:00,Empate,Fora,64,0,0,97,43,54,2024,Oct,Sun
BR30,Sim,Sim,2024-10-27 16:30:00,Vitória,Casa,65,4,2,101,45,56,2024,Oct,Sun
BR31,Sim,Sim,2024-10-30 19:00:00,Empate,Fora,66,1,1,102,46,56,2024,Oct,Wed
CB9,Sim,Sim,2024-11-03 16:00:00,Vitória,Casa,67,3,1,105,47,58,2024,Nov,Sun
BR32,Sim,Não,2024-11-06 21:00:00,Vitória,Fora,68,1,0,106,47,59,2024,Nov,Wed
CB10,Sim,Não,2024-11-10 16:00:00,Vitória,Fora,69,1,0,107,47,60,2024,Nov,Sun
BR33,Não,Não,2024-11-13 20:00:00,Empate,Casa,70,0,0,107,47,60,2024,Nov,Wed
BR34,Sim,Sim,2024-11-20 19:00:00,Vitória,Fora,71,2,1,109,48,61,2024,Nov,Wed
BR35,Não,Não,2024-11-26 20:00:00,Empate,Fora,72,0,0,109,48,61,2024,Nov,Tue
BR36,Sim,Sim,2024-12-01 16:00:00,Vitória,Casa,73,3,2,112,50,62,2024,Dec,Sun
BR37,Sim,Não,2024-12-04 20:00:00,Vitória,Fora,74,3,0,115,50,65,2024,Dec,Wed
BR38,Sim,Sim,2024-12-08 16:00:00,Empate,Casa,75,2,2,117,52,65,2024,Dec,Sun
